offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
102.0 to 102.875,"[2, 4, 5, 9]","['A4', 'D5', 'E5', 'F3', 'F4']","[0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]"
103.0 to 103.66666670000001,"[5, 7, 9]","['A5', 'F5', 'G5']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
104.0 to 104.66666670000001,"[0, 2, 4]","['C5', 'D5', 'E5']","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
105.0 to 105.875,"[0, 4, 7]","['C5', 'E4', 'G3', 'G4']","[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]"
106.0 to 106.875,"[2, 5, 7, 11]","['B4', 'D4', 'F3', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 1]"
107.0 to 107.5,"[2, 4]","['D3', 'D4', 'E3', 'E4']","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
108.0 to 108.0,"[0, 4]","['C3', 'C5', 'E4']","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
110.0 to 110.875,"[2, 4, 5, 7]","['D5', 'E5', 'F5', 'G3', 'G4']","[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]"
111.0 to 111.875,"[0, 4, 5]","['C3', 'C4', 'E5', 'F5']","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
112.0 to 112.5,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
113.0 to 113.0,[7],['G5'],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
114.0 to 114.0,[0],"['C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115.0 to 115.875,"[0, 4, 11]","['B5', 'C5', 'C6', 'E3', 'E4']","[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]"
