offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
80.0 to 80.25,"[5, 7]","['F4', 'F5', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
81.0 to 81.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
82.0 to 82.66666667,"[0, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]"
83.0 to 83.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
84.0 to 84.875,"[2, 5, 7]","['D4', 'D5', 'F4', 'F5', 'G4', 'G5']","[0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
85.0 to 85.25,"[5, 11]","['B3', 'B4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]"
86.0 to 86.25,"[5, 7]","['F4', 'F5', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
87.0 to 87.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
88.0 to 88.66666667,"[0, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]"
89.0 to 89.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
90.0 to 90.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
91.0 to 91.875,"[4, 5]","['E4', 'E5', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0]"
92.0 to 92.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'D5', 'F#3', 'F#4']","[2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
93.0 to 93.0,[7],"['G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
94.0 to 94.5,"[5, 7]","['F3', 'F4', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
95.0 to 95.5,"[2, 4]","['D3', 'D4', 'E3', 'E4']","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
96.0 to 96.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97.0 to 97.75,"[0, 4]","['C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
98.0 to 98.875,"[0, 6]","['C3', 'C4', 'F#4', 'F#5']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
99.0 to 99.875,"[6, 7, 11]","['B2', 'B3', 'F#4', 'F#5', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]"
100.0 to 100.875,"[2, 11]","['B3', 'B4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
101.0 to 101.75,"[2, 7]","['D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
102.0 to 102.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
103.0 to 103.875,"[5, 9]","['A4', 'A5', 'F3', 'F4', 'F5']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]"
104.0 to 104.875,"[0, 2, 6]","['C4', 'C5', 'D4', 'D5', 'F#3', 'F#4']","[2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
105.0 to 105.875,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
106.0 to 106.875,"[0, 2]","['C4', 'C5', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107.0 to 107.0,"[7, 11]","['B3', 'B4', 'G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]"
108.0 to 108.25,"[0, 9]","['A3', 'A4', 'C4', 'C5']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
109.0 to 109.25,"[0, 7]","['C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
110.0 to 110.25,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
111.0 to 111.875,"[0, 4, 7]","['C4', 'C5', 'E3', 'E4', 'G4', 'G5']","[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
112.0 to 112.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
113.0 to 113.0,"[4, 8]","['E3', 'E4', 'G#4', 'G#5']","[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
114.0 to 114.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
115.0 to 115.875,"[0, 9]","['A3', 'A4', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
116.0 to 116.875,"[0, 5, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2]"
117.0 to 117.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
118.0 to 118.0,"[0, 5]","['C4', 'C5', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
119.0 to 119.875,"[0, 7, 9, 11]","['A3', 'A4', 'B3', 'B4', 'C4', 'C5', 'G3', 'G4']","[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
120.0 to 120.875,"[0, 11]","['B3', 'B4', 'C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
121.0 to 121.0,[0],"['C2', 'C3', 'C4', 'C5']","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123.0 to 123.0,[7],"['G3', 'G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
124.0 to 124.0,"[4, 7]","['E3', 'E4', 'G4', 'G5']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
125.0 to 125.0,"[2, 7]","['D3', 'D4', 'G4', 'G5']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
126.0 to 126.875,"[1, 7, 10]","['B-4', 'B-5', 'C#3', 'C#4', 'G4', 'G5']","[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
127.0 to 127.0,[10],"['B-4', 'B-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
128.0 to 128.875,"[1, 7, 9, 10]","['A4', 'A5', 'B-4', 'B-5', 'C#4', 'C#5', 'G4', 'G5']","[0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]"
129.0 to 129.875,"[2, 5]","['D4', 'D5', 'F4', 'F5']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
130.0 to 130.875,"[4, 7]","['E4', 'E5', 'G3', 'G4']","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
131.0 to 131.0,"[2, 10]","['B-3', 'B-4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
132.0 to 132.875,"[2, 9]","['A3', 'A4', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
133.0 to 133.875,"[2, 4]","['D4', 'D5', 'E3', 'E4']","[0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
134.0 to 134.0,"[1, 9]","['A2', 'A3', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
135.0 to 135.0,[9],"['A3', 'A4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
136.0 to 136.875,"[7, 10]","['B-3', 'B-4', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
137.0 to 137.0,"[1, 4]","['C#4', 'C#5', 'E3', 'E4']","[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
138.0 to 138.0,"[1, 5]","['C#4', 'C#5', 'F3', 'F4']","[0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
139.0 to 139.5,"[1, 2, 4, 5]","['C#3', 'C#4', 'D4', 'D5', 'E4', 'E5', 'F3', 'F4']","[0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
140.0 to 140.5,"[2, 4, 5, 7]","['D3', 'D4', 'E3', 'E4', 'F4', 'F5', 'G4', 'G5']","[0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0]"
141.0 to 141.0,"[5, 9]","['A4', 'A5', 'F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
142.0 to 142.0,"[2, 7]","['D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
143.0 to 143.0,"[1, 9]","['A3', 'A4', 'C#4', 'C#5']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
144.0 to 144.875,"[1, 2]","['C#4', 'C#5', 'D3', 'D4']","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
145.0 to 145.0,"[2, 9]","['A2', 'A3', 'D4', 'D5']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
146.0 to 146.0,[2],"['D2', 'D3']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147.0 to 147.25,"[2, 5]","['D4', 'D5', 'F4', 'F5']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
148.0 to 148.25,"[5, 11]","['B3', 'B4', 'F4', 'F5']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]"
149.0 to 149.25,"[5, 7]","['F4', 'F5', 'G3', 'G4']","[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
150.0 to 150.875,"[0, 4, 5]","['C4', 'C5', 'E4', 'E5', 'F4', 'F5']","[2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
151.0 to 151.66666669999998,"[0, 9, 11]","['A4', 'A5', 'B4', 'B5', 'C5', 'C6']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]"
152.0 to 152.0,[7],"['G4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
153.0 to 153.875,"[2, 5, 7]","['D4', 'D5', 'F4', 'F5', 'G4', 'G5']","[0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
