offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
10.79166667,<music21.chord.Chord B4 G3 G2>,"[0, 4]","[7, 11]","[7, 11]",71,43,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[7, 11]_7",0.9092162709999999,"['B4', 'G3', 'G2']",10.0 to 10.875,"[4, 5, 7, 11]","['B4', 'E5', 'F5', 'G2', 'G3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]"
10.875,<music21.chord.Chord F5>,[0],[5],[5],77,77,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,[5]_5,0.9092162709999999,['F5'],10.0 to 10.875,"[4, 5, 7, 11]","['B4', 'E5', 'F5', 'G2', 'G3', 'G5']","[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]"
11.0,<music21.chord.Chord E5 C5 C4 C3>,"[0, 4]","[0, 4]","[0, 4]",76,48,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4]_0",0.9092162709999999,"['E5', 'C5', 'C4', 'C3']",11.0 to 11.0,"[0, 4]","['C3', 'C4', 'C5', 'E5']","[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
12.0,<music21.chord.Chord C4 C3>,[0],[0],[0],60,48,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,[0]_0,0.9092162709999999,"['C4', 'C3']",12.0 to 12.0,[0],"['C3', 'C4']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14.0,<music21.chord.Chord B3 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",62,55,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[7, 11, 2]_7",0.934804851,"['B3', 'D4', 'G3']",14.0 to 14.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
14.33333333,<music21.chord.Chord C4 E4 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",64,55,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4, 7]_7",0.934804851,"['C4', 'E4', 'G3']",14.0 to 14.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
14.66666667,<music21.chord.Chord D4 F4 G3>,"[0, 3, 5]","[2, 5, 7]","[2, 5, 7]",65,55,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[2, 5, 7]_7",0.934804851,"['D4', 'F4', 'G3']",14.0 to 14.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
14.875,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]","[2, 5]",65,62,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[2, 5]_2",0.934804851,"['D4', 'F4']",14.0 to 14.875,"[0, 2, 4, 5, 7, 11]","['B3', 'C4', 'D4', 'E4', 'F4', 'G3']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
15.0,<music21.chord.Chord D4 F4 C3>,"[0, 2, 5]","[0, 2, 5]","[0, 2, 5]",65,48,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 2, 5]_0",0.934804851,"['D4', 'F4', 'C3']",15.0 to 15.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
15.5,<music21.chord.Chord C4 E4 C3>,"[0, 4]","[0, 4]","[0, 4]",64,48,String Quartet Op1 No6 ii C major.mid,Haydn,0,major,"[0, 4]_0",0.934804851,"['C4', 'E4', 'C3']",15.0 to 15.875,"[0, 2, 4, 5]","['C3', 'C4', 'D4', 'E4', 'F4']","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
