offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence,octScalePitch,offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
20.45833333,<music21.chord.Chord C4 F4 F3>,"[0, 5]","[0, 5]","[2, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 7]_7",0.7995979259999999,"['C4', 'F4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.5,<music21.chord.Chord E-4 C4 F4 F3>,"[0, 3, 5]","[0, 3, 5]","[2, 5, 7]",65,53,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 5, 7]_7",0.7995979259999999,"['E-4', 'C4', 'F4', 'F3']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.625,<music21.chord.Chord C4>,[0],[0],[2],60,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[2]_2,0.7995979259999999,['C4'],20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.66666667,<music21.chord.Chord D4 C4>,"[0, 2]","[0, 2]","[2, 4]",62,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[2, 4]_2",0.7995979259999999,"['D4', 'C4']",20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.79166667,<music21.chord.Chord C4>,[0],[0],[2],60,60,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[2]_2,0.7995979259999999,['C4'],20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
20.875,<music21.chord.Chord E-4>,[0],[3],[5],63,63,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[5]_5,0.7995979259999999,['E-4'],20.0 to 20.875,"[0, 2, 3, 5]","['C4', 'D4', 'E-4', 'F3', 'F4']","[1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
21.0,<music21.chord.Chord D4 B-3 B-2>,"[0, 4]","[10, 2]","[0, 4]",62,46,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,"[0, 4]_0",0.7995979259999999,"['D4', 'B-3', 'B-2']",21.0 to 21.0,"[2, 10]","['B-2', 'B-3', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
22.0,<music21.chord.Chord B-4>,[0],[10],[0],70,70,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[0]_0,0.756354929,['B-4'],22.0 to 22.0,[10],['B-4'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
23.0,<music21.chord.Chord D5>,[0],[2],[4],74,74,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[4]_4,0.756354929,['D5'],23.0 to 23.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
23.33333333,<music21.chord.Chord B-4>,[0],[10],[0],70,70,String Quartet Op1 No1 ii Bb major.mid,Haydn,10,major,[0]_0,0.756354929,['B-4'],23.0 to 23.66666667,"[2, 7, 10]","['B-4', 'D5', 'G4']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
