offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
37.0 to 37.5,"[0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",cMajor,0.5555555555555556,"[0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326]"
38.0 to 38.0,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]",dMajor,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611]"
39.0 to 39.0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]",dMajor,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115]"
40.0 to 40.75,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0]",dMajor,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611]"
41.0 to 41.75,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",aMajor,0.7745966692414831,"[0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115]"
42.0 to 42.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2]",gMajor,0.727606875108999,"[-0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217]"
43.0 to 43.5,"[0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2]",eMajor,0.5555555555555556,"[-0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.5555555555555556]"
44.0 to 44.75,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2]",aMinor,0.5261522196019804,"[-0.3758230140014144, -0.07516460280028286, 0.5261522196019803, -0.3758230140014145, -0.07516460280028289, 0.22549380840084873, -0.07516460280028286, 0.22549380840084865, -0.3758230140014145, 0.5261522196019802, -0.07516460280028285, -0.07516460280028288, 0.22549380840084873, -0.07516460280028288, 0.22549380840084865, -0.3758230140014145, -0.07516460280028286, 0.5261522196019802, -0.3758230140014145, -0.07516460280028285, -0.3758230140014145, 0.5261522196019804, -0.07516460280028288, -0.07516460280028286]"
45.0 to 45.875,"[0, 0, 3, 0, 2, 0, 2, 0, 2, 0, 0, 0]",dMajor,0.4856618642571827,"[-0.044151078568834795, -0.044151078568834795, 0.4856618642571827, -0.39735970711951313, 0.30905754998184354, -0.39735970711951313, -0.044151078568834795, 0.13245323570650436, -0.044151078568834795, -0.044151078568834795, 0.13245323570650436, -0.044151078568834795, -0.044151078568834795, -0.39735970711951313, 0.4856618642571827, -0.39735970711951313, 0.30905754998184354, 0.13245323570650436, -0.044151078568834795, -0.044151078568834795, -0.044151078568834795, -0.044151078568834795, 0.13245323570650436, -0.044151078568834795]"
46.0 to 46.0,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",aMajor,0.7745966692414831,"[0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115]"
47.0 to 47.75,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2]",aMajor,0.816496580927726,"[-2.2662332591841973e-17, -2.2662332591841973e-17, -4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -4.5324665183683945e-17, -2.2662332591841973e-17, -0.4082482904638631, 0.816496580927726, -0.408248290463863, -2.2662332591841973e-17, 0.408248290463863, -1.6996749443881475e-17, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -5.665583147960493e-18, -0.408248290463863, 0.408248290463863, -0.408248290463863, 0.408248290463863, -0.408248290463863, 0.0]"
