,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_entireUnits,triadLabel,triadCoef,filename,abs_y_list
3082,130.0 to 130.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,0.5222329678670936,op1no3trio1.csv,"[0.0, 0.9999999999999999, 1.7320508075688772, 2.0, 1.7320508075688772, 0.9999999999999999, 0.0, 0.9999999999999999, 1.7320508075688772, 2.0, 1.7320508075688772, 0.9999999999999999]"
3083,132.0 to 132.5,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",15,dMajor,0.6172133998483675,op1no3trio1.csv,"[3.0, 2.9093129111764093, 2.6457513110645903, 2.23606797749979, 1.7320508075688772, 1.2393136749274758, 5.0, 1.2393136749274758, 1.7320508075688772, 2.23606797749979, 2.6457513110645903, 2.9093129111764093]"
3084,133.0 to 133.625,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,0.8268106308031117,op1no3trio1.csv,"[1.0, 0.9999999999999999, 0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999999]"
3085,134.0 to 134.625,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0]",8,dMajor,0.8268106308031117,op1no3trio1.csv,"[0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772, 0.0, 1.7320508075688772, 1.7320508075688772]"
3086,135.0 to 135.875,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]",12,gMajor,0.6793662204867574,op1no3trio1.csv,"[1.0, 2.23606797749979, 0.9999999999999999, 5.385164807134504, 6.082762530298219, 2.236067977499789, 7.0, 2.236067977499789, 6.082762530298219, 5.385164807134504, 0.9999999999999999, 2.23606797749979]"
3087,136.0 to 136.5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",15,gMajor,0.7745966692414831,op1no3trio1.csv,"[2.0, 3.898224265317047, 2.6457513110645907, 3.1622776601683795, 3.605551275463989, 2.191768139492261, 4.0, 2.191768139492261, 3.605551275463989, 3.1622776601683795, 2.6457513110645907, 3.898224265317047]"
3088,137.0 to 137.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",3,gMajor,0.7745966692414831,op1no3trio1.csv,"[0.0, 1.9318516525781366, 1.0, 1.4142135623730951, 1.7320508075688772, 0.5176380902050415, 2.0, 0.5176380902050415, 1.7320508075688772, 1.4142135623730951, 1.0, 1.9318516525781366]"
3089,138.0 to 138.875,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2]",15,gMajor,0.4436069753671345,op1no3trio1.csv,"[3.0, 4.31975161761002, 1.7320508075688772, 1.0, 3.0, 1.1574739574416408, 3.0, 1.1574739574416408, 3.0, 1.0, 1.7320508075688772, 4.31975161761002]"
3090,139.0 to 139.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1,gMajor,0.9258200997725514,op1no3trio1.csv,"[1.0, 3.3460652149512318, 3.605551275463989, 3.0, 2.6457513110645907, 0.8965754721680534, 1.0, 0.8965754721680534, 2.6457513110645907, 3.0, 3.605551275463989, 3.3460652149512318]"
3091,140.0 to 140.875,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1]",4,dMajor,0.676481425202546,op1no3trio1.csv,"[3.0, 1.5059711791502262, 0.9999999999999999, 1.0, 1.7320508075688772, 2.3941701709713277, 1.0, 2.3941701709713277, 1.7320508075688772, 1.0, 0.9999999999999999, 1.5059711791502262]"
3092,141.0 to 141.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",14,e-Major,0.5222329678670936,op1no3trio1.csv,"[5.0, 2.0178693638896674, 1.7320508075688772, 2.23606797749979, 2.6457513110645907, 4.234170902346232, 3.0, 4.234170902346232, 2.6457513110645907, 2.23606797749979, 1.7320508075688772, 2.0178693638896674]"
3093,142.0 to 142.75,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",15,gMajor,0.727606875108999,op1no3trio1.csv,"[1.0, 2.9093129111764093, 1.7320508075688772, 2.23606797749979, 2.6457513110645907, 1.2393136749274758, 3.0, 1.2393136749274758, 2.6457513110645907, 2.23606797749979, 1.7320508075688772, 2.9093129111764093]"
